municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Camalaú,http://camalau.pb.gov.br/assuntos/portal-da-transparencia,http://www.camalau.pb.gov.br/,,EasyWeb / Info Public,Múltiplos,N/A,,,,,,,,,,,
Campina Grande,http://transparencia.campinagrande.pb.gov.br/,http://campinagrande.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Capim,http://transparencia.capim.pb.gov.br/,http://www.capim.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,e-TICons,,,,,,,,,,,
Caraúbas,http://transparencia.elmar.inf.br/Contab/Transferencias?e=201053,http://caraubas.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Carrapateira,http://transparencia.elmar.inf.br/?e=201054,http://www.carrapateira.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Casserengue,http://transparencia.casserengue.pb.gov.br/,http://www.casserengue.pb.gov.br/,,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Catingueira,http://catingueira.pb.gov.br/assuntos/portal-da-transparencia,http://catingueira.pb.gov.br/,,EasyWeb / Publicsoft / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Catolé do Rocha,http://catoledorocha.pb.gov.br/assuntos/portal-da-transparencia,http://catoledorocha.pb.gov.br/,O portal da transparência do município está com problema no acesso aos dados (04/12/2017),EasyWeb,Único,,,,,,,,,,,,
Caturité,http://caturite.pb.gov.br/2017/?pag=home3,http://caturite.pb.gov.br/2017/?pag=home,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Conceição,http://conceicao.pb.gov.br/assuntos/porta-da-transparencia,http://conceicao.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Condado,http://condado.pb.gov.br/assuntos/portal-da-transparencia,http://condado.pb.gov.br/,,EasyWeb / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Conde,http://conde.pb.gov.br/transparencia-1,http://conde.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Congo,http://www.congo.pb.gov.br/index.php/transparencia,http://www.congo.pb.gov.br/index.php,,Elmar Tecnologia,Único,Aspec Informática / Publicsoft,,,,,,,,,,,
Coremas,http://www.coremas.pb.gov.br/transparencia/,http://www.coremas.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Coxixola,http://transparencia.elmar.inf.br/?e=201064,http://coxixola.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Cruz do Espírito Santo,http://www.cruzdoespiritosanto.pb.gov.br/transparencia/portal-da-transparencia/,http://www.cruzdoespiritosanto.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Cubati,http://transparencia2017.cubati.pb.gov.br/,http://cubati.pb.gov.br/home/,,Publicsoft,Único,N/A,,,,,,,,,,,
Cuité,http://www.cuite.pb.gov.br/portal-da-transparencia,http://www.cuite.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Cuité de Mamanguape,http://transparencia.cuitedemamanguape.pb.gov.br/,http://www.cuitedemamanguape.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,Aspec Informática,,,,,,,,,,,
Cuitegi,http://transparencia.cuitegi.pb.gov.br/,http://cuitegi.pb.gov.br/,,WebCreativ / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Curral de Cima,http://transparencia.curraldecima.pb.gov.br/,https://www.curraldecima.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Curral Velho,http://www.siteseticons.com.br/portal/ws/empresa/MDg4ODY5NDcwMDAxNTM=,http://www.curralvelho.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Damião,http://transparencia.damiao.pb.gov.br/,http://www.damiao.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Desterro,http://www.desterro.pb.gov.br/transparencia/,http://www.desterro.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Diamante,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=MLk=,http://www.diamante.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Dona Inês,http://www.pmdonaines.pb.gov.br/portaldatransparencia/,http://www.pmdonaines.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Duas Estradas,http://transparencia.duasestradas.pb.gov.br/,http://www.duasestradas.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,Publicsoft,,,,,,,,,,,
Emas,http://emas.pb.gov.br/assuntos/portal-da-transparencia,http://emas.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Esperança,http://www.transparenciaativa.com.br/Principal.aspx?Entidade=175,http://www.esperanca.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Fagundes,http://transparencia.elmar.inf.br/?e=201079,http://fagundes.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Frei Martinho,http://www.freimartinho.pb.gov.br/transparenciaexterno.html,http://freimartinho.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Gado Bravo,http://www.gadobravo.pb.gov.br/portal-da-transparencia.html,http://www.gadobravo.pb.gov.br/,Dúvida se a Aspec também fornece para o portal atual,Publicsoft / Franinformática / Aspec Informática,Múltiplos,Aspec Informática,,,,,,,,,,,
Guarabira,http://www.guarabira.pb.gov.br/portaldatransparencia/,http://www.guarabira.pb.gov.br/,,Connecta - Tecnologia da Informação / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Gurinhém,http://transparencia.gurinhem.pb.gov.br/,http://www.gurinhem.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,Info Public,,,,,,,,,,,
Gurjão,http://portaldatransparencia.lhsystem.com.br/PMG/,http://www.gurjao.pb.gov.br/,,LHSystem / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Ibiara,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=MLN/,http://www.ibiara.pb.gov.br/,"Gestão Anteriores: http://www.siteseticons.com.br/portal/ws/empresa/MDg5NDMyNjgwMDAxNzk=
",Publicsoft,Único,e-TICons,,,,,,,,,,,
Igaracy,http://siteseticons.com.br/portal/ws/empresa/MDg4ODUxMzkwMDAxNzE=,http://www.igaracy.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Imaculada,http://siteseticons.com.br/portal/ws/empresa/MDg4ODM5NjkwMDAxNjA=,http://www.imaculada.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Ingá,http://inga.pb.gov.br/portal-da-transparencia/,https://inga.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Itabaiana,http://transparencia.itabaiana.pb.gov.br/,http://itabaiana.pb.gov.br/site/,,Portal Próprio / Elmar Tecnologia ,Múltiplos,N/A,,,,,,,,,,,
Itaporanga,http://itaporanga.pb.gov.br/assuntos/portal-da-transparencia,http://itaporanga.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Itapororoca,http://transparencia.itapororoca.pb.gov.br/,https://www.itapororoca.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Itatuba,http://itatuba.pb.gov.br/portal-transparencia/,http://itatuba.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Jacaraú,http://www.jacarau.pb.gov.br/transparencia/,http://www.jacarau.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Jericó,http://jerico.pb.gov.br/transparencia-municipal/,http://jerico.pb.gov.br,,DC Soluções,Único,N/A,,,,,,,,,,,
João Pessoa,http://transparencia.joaopessoa.pb.gov.br/,http://www.joaopessoa.pb.gov.br/,,Portal Próprio,Único,Portal Próprio,,,,,,,,,,,
Joca Claudino,http://www.softecinformatica.com/transparencia/?i=201175,http://www.jocaclaudino.pb.gov.br/,,Portal Próprio,Único,N/A,,,,,,,,,,,
Juarez Távora,http://www.juareztavora.pb.gov.br/transparencia/,http://www.juareztavora.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Juazeirinho,http://juazeirinho.pb.gov.br/pmj/transparencia-fiscal/,http://juazeirinho.pb.gov.br/pmj/,,Publicsoft,Único,N/A,,,,,,,,,,,
Junco do Seridó,http://juncodoserido.pb.gov.br/assuntos/portal-da-transparencia,http://juncodoserido.pb.gov.br/,,Franinformática / Publicsoft / EasyWeb,Múltiplos,N/A,,,,,,,,,,,
Juripiranga,http://transparencia.juripiranga.pb.gov.br/,http://juripiranga.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,Aspec Informática,,,,,,,,,,,
Juru,http://pb.portaldatransparencia.com.br/prefeitura/juru/,http://www.juru.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Lagoa,http://www.lagoa.pb.gov.br/site/index.php/transparencia-fiscal,http://www.lagoa.pb.gov.br/site/,,Jader Formiga / Publicsoft / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Lagoa de Dentro,http://www.lagoadedentro.pb.gov.br/portal-da-transparencia/,http://www.lagoadedentro.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Lagoa Seca,http://lagoaseca.pb.gov.br/portal/transparencia-fiscal/,http://lagoaseca.pb.gov.br/,,GJSM / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Lastro,http://www.lastro.pb.gov.br/transparencia/,http://www.lastro.pb.gov.br/site/,,Publicsoft,Único,N/A,,,,,,,,,,,
Livramento,http://www.livramento.pb.gov.br/site.asp,http://www.casserengue.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
