municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Ouro Velho,bandit,2019-12-12T10:07:02Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,14,814700,2653581,44,10,21,551,Publicsoft,less_itens
Ouro Velho,bfs,2019-12-10T19:29:18Z,48,43,2,3,0.9555555555555556,0.9347826086956522,0.945054945054945,20,1186554,2017530,34,14,16,604,Publicsoft,less_itens
Ouro Velho,bfs,2019-12-11T16:51:52Z,48,43,2,3,0.9555555555555556,0.9347826086956522,0.945054945054945,20,1171605,2001254,33,14,16,604,Publicsoft,less_itens
Ouro Velho,bfs,2019-12-12T17:11:47Z,48,43,2,3,0.9555555555555556,0.9347826086956522,0.945054945054945,20,1173429,2002941,33,14,16,604,Publicsoft,less_itens
Pedra Lavrada,bandit,2019-12-11T02:10:28Z,48,40,5,1,0.8888888888888888,0.975609756097561,0.9302325581395349,40,2417597,3105422,52,31,38,1284,LHSystem / Elmar Tecnologia,less_itens
Pedra Lavrada,bandit,2019-12-12T17:56:28Z,48,40,5,1,0.8888888888888888,0.975609756097561,0.9302325581395349,46,2735571,3038929,51,34,36,1299,LHSystem / Elmar Tecnologia,less_itens
Pedra Lavrada,bfs,2019-12-10T23:49:07Z,48,41,5,1,0.8913043478260869,0.9761904761904762,0.9318181818181818,50,2987301,3208290,53,34,37,1256,LHSystem / Elmar Tecnologia,less_itens
Pedra Lavrada,bfs,2019-12-11T23:49:25Z,48,41,5,1,0.8913043478260869,0.9761904761904762,0.9318181818181818,49,2930361,3207156,53,34,37,1256,LHSystem / Elmar Tecnologia,less_itens
Pocinhos,bandit,2019-12-11T01:28:37Z,48,45,0,3,1,0.9375,0.967741935483871,13,756286,2775965,46,7,22,476,Publicsoft,less_itens
Pocinhos,bandit,2019-12-12T17:50:40Z,48,45,0,3,1,0.9375,0.967741935483871,16,970012,2776782,46,10,22,551,Publicsoft,less_itens
Pocinhos,bfs,2019-12-10T23:15:31Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1217833,2015683,34,14,16,604,Publicsoft,less_itens
Pocinhos,bfs,2019-12-11T23:15:32Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1226533,2031976,34,14,16,604,Publicsoft,less_itens
Quixaba,bandit,2019-12-11T00:39:12Z,48,43,2,1,0.9555555555555556,0.9772727272727273,0.9662921348314608,38,2300025,2963992,49,15,27,735,EasyWeb / Publicsoft,less_itens
Quixaba,bandit,2019-12-12T16:44:14Z,48,40,4,1,0.9090909090909091,0.975609756097561,0.9411764705882352,28,1668593,3985233,66,11,35,786,EasyWeb / Publicsoft,less_itens
Quixaba,bfs,2019-12-10T22:51:53Z,48,42,2,1,0.9545454545454546,0.9767441860465116,0.9655172413793104,52,3101968,3488854,58,25,28,1024,EasyWeb / Publicsoft,less_itens
