municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,mean_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Barra de Santa Rosa,Bfs,2019-12-06T19:04:44Z,61,47,11,3,0.8103448275862069,0.94,0.8703703703703703,21,1238753,10452041,174,16,27.83606557377049,131,1698,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Bfs,2019-12-09T20:00:20Z,61,47,11,3,0.8103448275862069,0.94,0.8703703703703703,21,1273764,11302943,188,16,28.229508196721312,131,1722,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Dfs,2019-11-25T19:31:26Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,38,2301975,11942393,199,21,31.80327868852459,139,1940,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Dfs,2019-11-26T15:26:04Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,36,2166839,12748645,212,21,31.639344262295083,137,1930,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Dfs,2019-12-05T03:53:56Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,32,1893435,10756866,179,21,31.639344262295083,137,1930,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Epsilon-greedy,2019-11-27T17:24:57Z,61,46,11,4,0.8070175438596491,0.92,0.8598130841121495,24,1425274,13341285,222,16,28.327868852459016,131,1728,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Epsilon-greedy,2019-12-04T20:06:22Z,61,45,13,3,0.7758620689655172,0.9375,0.8490566037735848,89,5324336,11507231,192,30,34.60655737704918,131,2111,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Epsilon-greedy,2019-12-04T23:39:47Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,84,5031342,12912842,215,24,31.016393442622952,131,1892,Portal Próprio / Elmar Tecnologia,all_itens
Barra de Santa Rosa,Epsilon-greedy,2019-12-05T01:09:54Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,32,1900227,9762018,163,25,32.131147540983605,131,1960,Portal Próprio / Elmar Tecnologia,all_itens
Bayeux,Bfs,2019-11-20T20:55:18Z,61,49,6,6,0.8909090909090909,0.8909090909090909,0.8909090909090909,148,8866703,12961618,216,108,95.11475409836065,152,5802,e-TICons,all_itens
Bayeux,Bfs,2019-11-28T02:57:45Z,61,50,6,5,0.8928571428571429,0.9090909090909091,0.9009009009009009,25,1490724,3872762,65,47,42.91803278688525,98,2618,e-TICons,all_itens
Bayeux,Bfs,2019-12-09T23:08:44Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,43,2600523,7898539,132,48,46.114754098360656,81,2813,e-TICons,all_itens
Bayeux,Dfs,2019-11-26T00:08:38Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,48,2895984,9243128,154,47,50.68852459016394,129,3092,e-TICons,all_itens
Bayeux,Dfs,2019-11-30T03:37:54Z,61,45,11,5,0.8035714285714286,0.9,0.8490566037735849,45,2687634,8729700,145,57,55.721311475409834,129,3399,e-TICons,all_itens
